us_aqi,aqi_lag_1,aqi_lag_3,aqi_lag_6,aqi_lag_24,aqi_change_1h,aqi_change_3h,aqi_rolling_mean_6h,aqi_rolling_mean_24h,next_temperature_2m,next_relative_humidity_2m,next_precipitation,next_surface_pressure,next_wind_speed_10m,next_pm2_5,next_pm10,next_carbon_monoxide,next_nitrogen_dioxide,next_sulphur_dioxide,next_ozone,next_hour_sin,next_hour_cos,next_dow_sin,next_dow_cos,next_month_sin,next_month_cos
152,129.0,97.0,95.0,90.0,23.0,55.0,111.83333333333333,95.58333333333333,32.7,27.0,0.0,976.7,8.1,15.6,23.9,453.0,6.7,11.7,193.0,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17
110,109.0,107.0,93.0,98.0,1.0,3.0,105.83333333333333,109.95833333333333,36.5,23.0,0.0,977.0,5.7,15.7,29.3,376.0,2.9,8.0,195.0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
86,85.0,83.0,88.0,87.0,1.0,3.0,84.83333333333333,118.83333333333333,34.0,30.0,0.0,979.4,13.9,42.3,152.3,264.0,2.6,12.1,195.0,-0.2588190451025208,-0.9659258262890683,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998
106,111.0,116.0,117.0,129.0,-5.0,-10.0,113.16666666666667,125.58333333333333,28.3,51.0,0.0,987.4,3.2,36.6,147.1,365.0,3.3,8.4,174.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998
89,91.0,95.0,100.0,113.0,-2.0,-6.0,93.83333333333333,126.04166666666667,29.0,48.0,0.0,982.4,6.8,61.9,259.8,873.0,13.3,12.9,142.0,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419,0.8660254037844387,-0.4999999999999998
151,152.0,154.0,154.0,141.0,-1.0,-3.0,153.0,158.91666666666666,26.3,60.0,0.0,983.9,5.5,43.9,59.4,836.0,16.4,19.5,113.0,0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
167,167.0,166.0,167.0,161.0,0.0,1.0,166.66666666666666,175.125,24.1,73.0,0.0,982.9,16.6,68.9,116.6,669.0,12.9,10.4,99.0,0.9659258262890683,0.25881904510252074,0.0,1.0,0.8660254037844387,-0.4999999999999998
155,156.0,158.0,159.0,165.0,-1.0,-3.0,157.16666666666666,162.54166666666666,28.0,58.0,0.0,977.4,4.3,73.3,123.9,602.0,25.3,8.6,65.0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
138,136.0,132.0,181.0,157.0,2.0,6.0,144.66666666666666,152.54166666666666,25.6,54.0,0.0,976.4,10.9,66.8,86.4,1244.0,53.4,11.3,23.0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
97,97.0,146.0,129.0,143.0,0.0,-49.0,127.0,122.45833333333333,32.1,41.0,0.0,978.8,4.0,60.5,88.0,1471.0,80.6,13.0,14.0,-0.25881904510252157,0.9659258262890681,-0.9749279121818236,-0.2225209339563146,0.8660254037844387,-0.4999999999999998
132,150.0,149.0,85.0,117.0,-18.0,-17.0,137.83333333333334,102.70833333333333,36.8,32.0,0.0,974.7,5.9,35.4,50.3,1288.0,50.5,14.6,60.0,-0.7071067811865477,0.7071067811865474,0.0,1.0,0.8660254037844387,-0.4999999999999998
184,184.0,151.0,111.0,155.0,0.0,33.0,153.16666666666666,119.45833333333333,40.1,18.0,0.0,973.5,8.3,26.8,44.0,969.0,40.7,11.6,77.0,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.8660254037844387,-0.4999999999999998
98,84.0,82.0,81.0,91.0,14.0,16.0,85.16666666666667,84.41666666666667,38.6,18.0,0.1,978.9,7.3,24.2,64.3,382.0,6.5,8.3,149.0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998
86,87.0,90.0,94.0,109.0,-1.0,-4.0,89.0,107.54166666666667,38.9,19.0,0.0,978.0,11.4,23.2,62.9,215.0,0.5,4.8,155.0,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,0.8660254037844387,-0.4999999999999998
